it: 89, grad_norm: 48.52928506992438, cross_entropy: 169.88449713683713
it: 90, grad_norm: 48.502614155016396, cross_entropy: 169.8609526947218
it: 91, grad_norm: 48.47597977337505, cross_entropy: 169.83743411948404
it: 92, grad_norm: 48.44938188775491, cross_entropy: 169.813941361501
it: 93, grad_norm: 48.42282046089434, cross_entropy: 169.79047437124427
it: 94, grad_norm: 48.39629545551597, cross_entropy: 169.76703309927981
it: 95, grad_norm: 48.36980683432668, cross_entropy: 169.74361749626763
it: 96, grad_norm: 48.34335456001791, cross_entropy: 169.72022751296177
it: 97, grad_norm: 48.31693859526585, cross_entropy: 169.69686310021015
it: 98, grad_norm: 48.2905589027316, cross_entropy: 169.67352420895446
it: 99, grad_norm: 48.264215445061375, cross_entropy: 169.6502107902299
it: 100, grad_norm: 48.23790818488669, cross_entropy: 169.62692279516506
it: 101, grad_norm: 48.21163708482468, cross_entropy: 169.6036601749819
it: 102, grad_norm: 48.18540210747808, cross_entropy: 169.5804228809955
it: 103, grad_norm: 48.159203215435554, cross_entropy: 169.55721086461398
it: 104, grad_norm: 48.13304037127191, cross_entropy: 169.53402407733824
it: 105, grad_norm: 48.106913537548195, cross_entropy: 169.51086247076194
it: 106, grad_norm: 48.080822676811984, cross_entropy: 169.4877259965713
it: 107, grad_norm: 48.0547677515975, cross_entropy: 169.46461460654498
it: 108, grad_norm: 48.02874872442586, cross_entropy: 169.44152825255398
it: 109, grad_norm: 48.00276555780519, cross_entropy: 169.4184668865613
it: 110, grad_norm: 47.97681821423094, cross_entropy: 169.39543046062207
it: 111, grad_norm: 47.95090665618596, cross_entropy: 169.37241892688323
it: 112, grad_norm: 47.92503084614072, cross_entropy: 169.34943223758344
it: 113, grad_norm: 47.89919074655354, cross_entropy: 169.32647034505297
it: 114, grad_norm: 47.87338631987072, cross_entropy: 169.3035332017134
it: 115, grad_norm: 47.847617528526804, cross_entropy: 169.28062076007777
it: 116, grad_norm: 47.821884334944684, cross_entropy: 169.2577329727501
it: 117, grad_norm: 47.79618670153582, cross_entropy: 169.2348697924255
it: 118, grad_norm: 47.77052459070042, cross_entropy: 169.21203117188998
it: 119, grad_norm: 47.74489796482771, cross_entropy: 169.1892170640201
it: 120, grad_norm: 47.71930678629598, cross_entropy: 169.1664274217832
it: 121, grad_norm: 47.693751017472835, cross_entropy: 169.14366219823688
it: 122, grad_norm: 47.66823062071543, cross_entropy: 169.12092134652914
it: 123, grad_norm: 47.64274555837054, cross_entropy: 169.09820481989811
it: 124, grad_norm: 47.61729579277485, cross_entropy: 169.07551257167188
it: 125, grad_norm: 47.591881286255145, cross_entropy: 169.05284455526845
it: 126, grad_norm: 47.56650200112832, cross_entropy: 169.03020072419545
it: 127, grad_norm: 47.54115789970181, cross_entropy: 169.00758103205024
it: 128, grad_norm: 47.515848944273564, cross_entropy: 168.98498543251952
it: 129, grad_norm: 47.490575097132364, cross_entropy: 168.96241387937926
it: 130, grad_norm: 47.465336320557924, cross_entropy: 168.9398663264946
it: 131, grad_norm: 47.44013257682111, cross_entropy: 168.91734272781986
it: 132, grad_norm: 47.41496382818409, cross_entropy: 168.89484303739795
it: 133, grad_norm: 47.38983003690059, cross_entropy: 168.87236720936068
it: 134, grad_norm: 47.36473116521594, cross_entropy: 168.84991519792842
it: 135, grad_norm: 47.33966717536736, cross_entropy: 168.82748695740997
it: 136, grad_norm: 47.31463802958412, cross_entropy: 168.80508244220246
it: 137, grad_norm: 47.289643690087665, cross_entropy: 168.7827016067912
it: 138, grad_norm: 47.2646841190919, cross_entropy: 168.7603444057494
it: 139, grad_norm: 47.239759278803184, cross_entropy: 168.7380107937383
it: 140, grad_norm: 47.21486913142071, cross_entropy: 168.71570072550685
it: 141, grad_norm: 47.19001363913656, cross_entropy: 168.69341415589147
it: 142, grad_norm: 47.165192764135874, cross_entropy: 168.67115103981627
it: 143, grad_norm: 47.140406468597135, cross_entropy: 168.64891133229247
it: 144, grad_norm: 47.11565471469218, cross_entropy: 168.62669498841856
it: 145, grad_norm: 47.09093746458651, cross_entropy: 168.60450196338
it: 146, grad_norm: 47.06625468043937, cross_entropy: 168.58233221244927
it: 147, grad_norm: 47.04160632440401, cross_entropy: 168.56018569098552
it: 148, grad_norm: 47.016992358627796, cross_entropy: 168.53806235443454
it: 149, grad_norm: 46.992412745252345, cross_entropy: 168.51596215832853
it: 150, grad_norm: 46.96786744641386, cross_entropy: 168.49388505828614
it: 151, grad_norm: 46.94335642424304, cross_entropy: 168.47183101001207
it: 152, grad_norm: 46.91887964086553, cross_entropy: 168.44979996929726
it: 153, grad_norm: 46.89443705840185, cross_entropy: 168.4277918920184
it: 154, grad_norm: 46.87002863896774, cross_entropy: 168.40580673413803
it: 155, grad_norm: 46.84565434467428, cross_entropy: 168.3838444517043
it: 156, grad_norm: 46.82131413762792, cross_entropy: 168.36190500085095
it: 157, grad_norm: 46.79700797993089, cross_entropy: 168.3399883377969
it: 158, grad_norm: 46.77273583368116, cross_entropy: 168.31809441884639
it: 159, grad_norm: 46.74849766097278, cross_entropy: 168.29622320038874
it: 160, grad_norm: 46.72429342389584, cross_entropy: 168.27437463889825
it: 161, grad_norm: 46.700123084536834, cross_entropy: 168.2525486909339
it: 162, grad_norm: 46.6759866049787, cross_entropy: 168.23074531313944
it: 163, grad_norm: 46.651883947301044, cross_entropy: 168.20896446224305
it: 164, grad_norm: 46.62781507358028, cross_entropy: 168.1872060950574
it: 165, grad_norm: 46.603779945889826, cross_entropy: 168.1654701684793
it: 166, grad_norm: 46.579778526300224, cross_entropy: 168.14375663948968
it: 167, grad_norm: 46.555810776879284, cross_entropy: 168.12206546515353
it: 168, grad_norm: 46.53187665969236, cross_entropy: 168.10039660261953
it: 169, grad_norm: 46.507976136802355, cross_entropy: 168.07875000912017
it: 170, grad_norm: 46.48410917027002, cross_entropy: 168.05712564197142
it: 171, grad_norm: 46.460275722153995, cross_entropy: 168.0355234585727
it: 172, grad_norm: 46.43647575451111, cross_entropy: 168.01394341640662
it: 173, grad_norm: 46.41270922939646, cross_entropy: 167.99238547303906
it: 174, grad_norm: 46.38897610886347, cross_entropy: 167.9708495861188
it: 175, grad_norm: 46.36527635496427, cross_entropy: 167.94933571337748
it: 176, grad_norm: 46.34160992974969, cross_entropy: 167.92784381262953
it: 177, grad_norm: 46.31797679526944, cross_entropy: 167.90637384177194
it: 178, grad_norm: 46.29437691357238, cross_entropy: 167.88492575878408
it: 179, grad_norm: 46.27081024670648, cross_entropy: 167.86349952172776
it: 180, grad_norm: 46.2472767567192, cross_entropy: 167.84209508874676
it: 181, grad_norm: 46.223776405657446, cross_entropy: 167.82071241806716
it: 182, grad_norm: 46.200309155567844, cross_entropy: 167.79935146799673
it: 183, grad_norm: 46.176874968496925, cross_entropy: 167.7780121969251
it: 184, grad_norm: 46.15347380649111, cross_entropy: 167.75669456332344
it: 185, grad_norm: 46.13010563159706, cross_entropy: 167.7353985257445
it: 186, grad_norm: 46.10677040586171, cross_entropy: 167.7141240428224
it: 187, grad_norm: 46.08346809133247, cross_entropy: 167.69287107327233
it: 188, grad_norm: 46.06019865005739, cross_entropy: 167.6716395758907
it: 189, grad_norm: 46.03696204408522, cross_entropy: 167.65042950955478
it: 190, grad_norm: 46.013758235465716, cross_entropy: 167.62924083322272
it: 191, grad_norm: 45.99058718624964, cross_entropy: 167.60807350593325
it: 192, grad_norm: 45.967448858488964, cross_entropy: 167.5869274868057
it: 193, grad_norm: 45.94434321423714, cross_entropy: 167.5658027350398
it: 194, grad_norm: 45.921270215549036, cross_entropy: 167.54469920991548
it: 195, grad_norm: 45.89822982448124, cross_entropy: 167.52361687079284
it: 196, grad_norm: 45.875222003092176, cross_entropy: 167.50255567711196
it: 197, grad_norm: 45.8522467134422, cross_entropy: 167.48151558839282
it: 198, grad_norm: 45.829303917593826, cross_entropy: 167.46049656423506
it: 199, grad_norm: 45.806393577611814, cross_entropy: 167.4394985643179
it: 200, grad_norm: 45.78351565556335, cross_entropy: 167.41852154840007
it: 201, grad_norm: 45.76067011351823, cross_entropy: 167.39756547631953
it: 202, grad_norm: 45.73785691354887, cross_entropy: 167.37663030799357
it: 203, grad_norm: 45.71507601773061, cross_entropy: 167.3557160034183
it: 204, grad_norm: 45.692327388141784, cross_entropy: 167.33482252266896
it: 205, grad_norm: 45.66961098686383, cross_entropy: 167.31394982589944
it: 206, grad_norm: 45.64692677598155, cross_entropy: 167.29309787334228
it: 207, grad_norm: 45.62427471758312, cross_entropy: 167.2722666253086
it: 208, grad_norm: 45.601654773760345, cross_entropy: 167.25145604218778
it: 209, grad_norm: 45.579066906608745, cross_entropy: 167.23066608444756
it: 210, grad_norm: 45.55651107822768, cross_entropy: 167.20989671263368
it: 211, grad_norm: 45.53398725072054, cross_entropy: 167.18914788736996
it: 212, grad_norm: 45.51149538619492, cross_entropy: 167.16841956935798
it: 213, grad_norm: 45.489035446762585, cross_entropy: 167.14771171937696
it: 214, grad_norm: 45.46660739453988, cross_entropy: 167.1270242982839
it: 215, grad_norm: 45.444211191647625, cross_entropy: 167.10635726701304
it: 216, grad_norm: 45.421846800211384, cross_entropy: 167.085710586576
it: 217, grad_norm: 45.39951418236164, cross_entropy: 167.06508421806157
it: 218, grad_norm: 45.37721330023376, cross_entropy: 167.04447812263555
it: 219, grad_norm: 45.354944115968365, cross_entropy: 167.02389226154077
it: 220, grad_norm: 45.33270659171128, cross_entropy: 167.0033265960966
it: 221, grad_norm: 45.310500689613725, cross_entropy: 166.98278108769927
it: 222, grad_norm: 45.28832637183255, cross_entropy: 166.96225569782143
it: 223, grad_norm: 45.26618360053026, cross_entropy: 166.9417503880121
it: 224, grad_norm: 45.24407233787516, cross_entropy: 166.92126511989653
it: 225, grad_norm: 45.22199254604154, cross_entropy: 166.90079985517613
it: 226, grad_norm: 45.19994418720978, cross_entropy: 166.8803545556283
it: 227, grad_norm: 45.17792722356654, cross_entropy: 166.85992918310615
it: 228, grad_norm: 45.15594161730476, cross_entropy: 166.8395236995387
it: 229, grad_norm: 45.133987330624, cross_entropy: 166.8191380669304
it: 230, grad_norm: 45.112064325730316, cross_entropy: 166.79877224736128
it: 231, grad_norm: 45.09017256483668, cross_entropy: 166.77842620298662
it: 232, grad_norm: 45.068312010162856, cross_entropy: 166.75809989603687
it: 233, grad_norm: 45.04648262393577, cross_entropy: 166.7377932888176
it: 234, grad_norm: 45.02468436838939, cross_entropy: 166.71750634370926
it: 235, grad_norm: 45.00291720576508, cross_entropy: 166.69723902316713
it: 236, grad_norm: 44.9811810983116, cross_entropy: 166.67699128972112
it: 237, grad_norm: 44.95947600828528, cross_entropy: 166.65676310597576
it: 238, grad_norm: 44.93780189795016, cross_entropy: 166.6365544346099
it: 239, grad_norm: 44.91615872957812, cross_entropy: 166.61636523837672
it: 240, grad_norm: 44.894546465449, cross_entropy: 166.5961954801035
it: 241, grad_norm: 44.87296506785066, cross_entropy: 166.57604512269157
it: 242, grad_norm: 44.851414499079254, cross_entropy: 166.55591412911616
it: 243, grad_norm: 44.829894721439295, cross_entropy: 166.5358024624262
it: 244, grad_norm: 44.808405697243714, cross_entropy: 166.51571008574433
it: 245, grad_norm: 44.78694738881407, cross_entropy: 166.49563696226664
it: 246, grad_norm: 44.76551975848066, cross_entropy: 166.47558305526263
it: 247, grad_norm: 44.74412276858261, cross_entropy: 166.45554832807488
it: 248, grad_norm: 44.72275638146811, cross_entropy: 166.43553274411929
it: 249, grad_norm: 44.70142055949437, cross_entropy: 166.4155362668847
it: 250, grad_norm: 44.68011526502788, cross_entropy: 166.39555885993266
it: 251, grad_norm: 44.65884046044449, cross_entropy: 166.37560048689767
it: 252, grad_norm: 44.637596108129515, cross_entropy: 166.3556611114866
it: 253, grad_norm: 44.616382170477934, cross_entropy: 166.3357406974789
it: 254, grad_norm: 44.595198609894425, cross_entropy: 166.31583920872646
it: 255, grad_norm: 44.57404538879353, cross_entropy: 166.29595660915317
it: 256, grad_norm: 44.552922469599764, cross_entropy: 166.27609286275515
it: 257, grad_norm: 44.531829814747795, cross_entropy: 166.25624793360043
it: 258, grad_norm: 44.51076738668247, cross_entropy: 166.2364217858289
it: 259, grad_norm: 44.48973514785898, cross_entropy: 166.2166143836521
it: 260, grad_norm: 44.46873306074308, cross_entropy: 166.19682569135313
it: 261, grad_norm: 44.447761087810996, cross_entropy: 166.17705567328667
it: 262, grad_norm: 44.42681919154978, cross_entropy: 166.15730429387858
it: 263, grad_norm: 44.40590733445725, cross_entropy: 166.13757151762596
it: 264, grad_norm: 44.38502547904218, cross_entropy: 166.117857309097
it: 265, grad_norm: 44.36417358782445, cross_entropy: 166.09816163293078
it: 266, grad_norm: 44.34335162333516, cross_entropy: 166.07848445383723
it: 267, grad_norm: 44.32255954811667, cross_entropy: 166.058825736597
it: 268, grad_norm: 44.30179732472279, cross_entropy: 166.03918544606123
it: 269, grad_norm: 44.28106491571887, cross_entropy: 166.0195635471515
it: 270, grad_norm: 44.260362283681985, cross_entropy: 165.99996000485976
it: 271, grad_norm: 44.23968939120091, cross_entropy: 165.98037478424806
it: 272, grad_norm: 44.219046200876384, cross_entropy: 165.96080785044865
it: 273, grad_norm: 44.19843267532115, cross_entropy: 165.9412591686635
it: 274, grad_norm: 44.177848777160094, cross_entropy: 165.92172870416456
it: 275, grad_norm: 44.157294469030326, cross_entropy: 165.90221642229344
it: 276, grad_norm: 44.13676971358133, cross_entropy: 165.8827222884612
it: 277, grad_norm: 44.1162744734751, cross_entropy: 165.86324626814843
it: 278, grad_norm: 44.09580871138619, cross_entropy: 165.843788326905
it: 279, grad_norm: 44.07537239000188, cross_entropy: 165.82434843034997
it: 280, grad_norm: 44.054965472022275, cross_entropy: 165.80492654417145
it: 281, grad_norm: 44.03458792016039, cross_entropy: 165.7855226341265
it: 282, grad_norm: 44.01423969714235, cross_entropy: 165.76613666604095
it: 283, grad_norm: 43.993920765707365, cross_entropy: 165.74676860580928
it: 284, grad_norm: 43.97363108860796, cross_entropy: 165.7274184193947
it: 285, grad_norm: 43.95337062861004, cross_entropy: 165.70808607282862
it: 286, grad_norm: 43.933139348493015, cross_entropy: 165.68877153221104
it: 287, grad_norm: 43.91293721104989, cross_entropy: 165.6694747637099
it: 288, grad_norm: 43.89276417908739, cross_entropy: 165.6501957335613
it: 289, grad_norm: 43.87262021542605, cross_entropy: 165.63093440806938
it: 290, grad_norm: 43.85250528290038, cross_entropy: 165.6116907536059
it: 291, grad_norm: 43.832419344358904, cross_entropy: 165.5924647366105
it: 292, grad_norm: 43.812362362664324, cross_entropy: 165.57325632359033
it: 293, grad_norm: 43.79233430069356, cross_entropy: 165.55406548111995
it: 294, grad_norm: 43.77233512133799, cross_entropy: 165.53489217584135
it: 295, grad_norm: 43.75236478750339, cross_entropy: 165.5157363744636
it: 296, grad_norm: 43.73242326211015, cross_entropy: 165.49659804376296
it: 297, grad_norm: 43.7125105080934, cross_entropy: 165.47747715058267
it: 298, grad_norm: 43.69262648840298, cross_entropy: 165.4583736618327
it: 299, grad_norm: 43.67277116600366, cross_entropy: 165.43928754448984
it: 300, grad_norm: 43.65294450387534, cross_entropy: 165.42021876559738
it: 301, grad_norm: 43.633146465012864, cross_entropy: 165.40116729226526
it: 302, grad_norm: 43.61337701242637, cross_entropy: 165.38213309166954
it: 303, grad_norm: 43.59363610914139, cross_entropy: 165.36311613105278
it: 304, grad_norm: 43.57392371819881, cross_entropy: 165.3441163777234
it: 305, grad_norm: 43.55423980265506, cross_entropy: 165.325133799056
it: 306, grad_norm: 43.534584325582195, cross_entropy: 165.306168362491
it: 307, grad_norm: 43.51495725006809, cross_entropy: 165.2872200355345
