it: 88, grad_norm: 4.211227327561691, cross_entropy: 33.78716056174939
it: 89, grad_norm: 3.373766080811047, cross_entropy: 33.58481095186579
it: 90, grad_norm: 4.140393300811676, cross_entropy: 33.386658197413354
it: 91, grad_norm: 3.319067102351149, cross_entropy: 33.18932632368164
it: 92, grad_norm: 4.0719784183764105, cross_entropy: 32.996016878076325
it: 93, grad_norm: 3.26556328833369, cross_entropy: 32.80349433530145
it: 94, grad_norm: 4.006123303103787, cross_entropy: 32.61481690597867
it: 95, grad_norm: 3.2129564080911215, cross_entropy: 32.42689967853341
it: 96, grad_norm: 3.942842163812813, cross_entropy: 32.242642374214014
it: 97, grad_norm: 3.1614986256440805, cross_entropy: 32.059134615538866
it: 98, grad_norm: 3.8820005625636016, cross_entropy: 31.87911784999762
it: 99, grad_norm: 3.1114560474239044, cross_entropy: 31.699835974016704
it: 100, grad_norm: 3.823117450226585, cross_entropy: 31.523911000099854
it: 101, grad_norm: 3.062765227327968, cross_entropy: 31.34869420011152
it: 102, grad_norm: 3.765865379624913, cross_entropy: 31.176720778477392
it: 103, grad_norm: 3.0151004831604404, cross_entropy: 31.005425007562692
it: 104, grad_norm: 3.709458834612936, cross_entropy: 30.83725429909447
it: 105, grad_norm: 2.9691860003141244, cross_entropy: 30.66976653644538
it: 106, grad_norm: 3.653965496921107, cross_entropy: 30.505304083628893
it: 107, grad_norm: 2.9245406531394242, cross_entropy: 30.341513318808115
it: 108, grad_norm: 3.6002377017302396, cross_entropy: 30.180643816005887
it: 109, grad_norm: 2.8812600689089263, cross_entropy: 30.02041577963564
it: 110, grad_norm: 3.547131927578518, cross_entropy: 29.863038581686833
it: 111, grad_norm: 2.8384235055956313, cross_entropy: 29.706279921366388
it: 112, grad_norm: 3.495105871982926, cross_entropy: 29.55224703709029
it: 113, grad_norm: 2.796459586257029, cross_entropy: 29.398853487165525
it: 114, grad_norm: 3.4455667704051245, cross_entropy: 29.248051197870296
it: 115, grad_norm: 2.755782832348294, cross_entropy: 29.09787780470595
it: 116, grad_norm: 3.39732508282053, cross_entropy: 28.950225037490974
it: 117, grad_norm: 2.715898485012137, cross_entropy: 28.803168274215956
it: 118, grad_norm: 3.3497695353420336, cross_entropy: 28.658561105863825
it: 119, grad_norm: 2.676699888878863, cross_entropy: 28.514539748986195
it: 120, grad_norm: 3.3033565087799377, cross_entropy: 28.372874293715412
it: 121, grad_norm: 2.638598462579909, cross_entropy: 28.23179570165844
it: 122, grad_norm: 3.2579789861197175, cross_entropy: 28.09299831758127
it: 123, grad_norm: 2.601590612804244, cross_entropy: 27.954775863987503
it: 124, grad_norm: 3.2131443403851834, cross_entropy: 27.818777788656558
it: 125, grad_norm: 2.5655986411620697, cross_entropy: 27.683342422974874
it: 126, grad_norm: 3.169282162725415, cross_entropy: 27.550074835652325
it: 127, grad_norm: 2.5300264166612223, cross_entropy: 27.417346486602376
it: 128, grad_norm: 3.1259222705680423, cross_entropy: 27.28671088663516
it: 129, grad_norm: 2.495332212044058, cross_entropy: 27.156626086094473
it: 130, grad_norm: 3.084265203788269, cross_entropy: 27.02855517022202
it: 131, grad_norm: 2.461364971872617, cross_entropy: 26.90101621599502
it: 132, grad_norm: 3.0432913305943443, cross_entropy: 26.77543863245795
it: 133, grad_norm: 2.4278517338338292, cross_entropy: 26.650380832178982
it: 134, grad_norm: 3.00345340059329, cross_entropy: 26.52721377907927
it: 135, grad_norm: 2.395137928001603, cross_entropy: 26.404560840463972
it: 136, grad_norm: 2.9639414411670457, cross_entropy: 26.28374539484126
it: 137, grad_norm: 2.3633509089076252, cross_entropy: 26.163446910704565
it: 138, grad_norm: 2.925198629939317, cross_entropy: 26.044934495493514
it: 139, grad_norm: 2.3323879592154957, cross_entropy: 25.926928352058702
it: 140, grad_norm: 2.887159636244589, cross_entropy: 25.81066762996924
it: 141, grad_norm: 2.301994999850891, cross_entropy: 25.69489517677447
it: 142, grad_norm: 2.8493623968066624, cross_entropy: 25.580823648677214
it: 143, grad_norm: 2.2715983656265784, cross_entropy: 25.467241155981792
