it: 86, grad_norm: 0.09094522431244138, cross_entropy: 158.19218737913343
it: 87, grad_norm: 0.09094521688201825, cross_entropy: 158.19217925633285
it: 88, grad_norm: 0.09094519796031236, cross_entropy: 158.19215857146992
it: 89, grad_norm: 0.09094518738177294, cross_entropy: 158.19214700719692
it: 90, grad_norm: 0.09094517998054055, cross_entropy: 158.19213891629704
it: 91, grad_norm: 0.09094515970783426, cross_entropy: 158.19211675451777
it: 92, grad_norm: 0.0909451527981856, cross_entropy: 158.19210920100187
it: 93, grad_norm: 0.0909451439308525, cross_entropy: 158.19209950737476
it: 94, grad_norm: 0.09094512718122306, cross_entropy: 158.19208119694127
it: 95, grad_norm: 0.09094511313878455, cross_entropy: 158.19206584595833
it: 96, grad_norm: 0.0909450933778729, cross_entropy: 158.19204424361595
it: 97, grad_norm: 0.09094508251159507, cross_entropy: 158.19203236475067
it: 98, grad_norm: 0.0909450704299537, cross_entropy: 158.1920191572617
it: 99, grad_norm: 0.09094505381557642, cross_entropy: 158.19200099463916
it: 100, grad_norm: 0.09094504265926344, cross_entropy: 158.19198879869538
it: 101, grad_norm: 0.0909450340730908, cross_entropy: 158.1919794123936
it: 102, grad_norm: 0.09094502378848544, cross_entropy: 158.19196816938222
it: 103, grad_norm: 0.09094501635903672, cross_entropy: 158.19196004759232
it: 104, grad_norm: 0.09094500063972943, cross_entropy: 158.1919428634177
it: 105, grad_norm: 0.09094499412370172, cross_entropy: 158.1919357401637
it: 106, grad_norm: 0.09094497932774841, cross_entropy: 158.19191956537753
it: 107, grad_norm: 0.09094496261214685, cross_entropy: 158.19190129204196
it: 108, grad_norm: 0.09094495619011779, cross_entropy: 158.19189427153754
it: 109, grad_norm: 0.09094493270746169, cross_entropy: 158.1918686005028
it: 110, grad_norm: 0.0909449129618861, cross_entropy: 158.1918470147952
it: 111, grad_norm: 0.09094489829601429, cross_entropy: 158.19183098216905
it: 112, grad_norm: 0.09094487397007134, cross_entropy: 158.19180438920887
it: 113, grad_norm: 0.09094486505111424, cross_entropy: 158.19179463905613
it: 114, grad_norm: 0.09094485479353465, cross_entropy: 158.19178342552556
it: 115, grad_norm: 0.09094484256166979, cross_entropy: 158.19177005371236
it: 116, grad_norm: 0.09094483188719782, cross_entropy: 158.1917583844285
it: 117, grad_norm: 0.09094481419476948, cross_entropy: 158.19173904313968
it: 118, grad_norm: 0.09094479678560646, cross_entropy: 158.19172001150434
it: 119, grad_norm: 0.09094478979013033, cross_entropy: 158.1917123640701
it: 120, grad_norm: 0.09094478269496624, cross_entropy: 158.19170460765554
it: 121, grad_norm: 0.09094477288265033, cross_entropy: 158.19169388085518
it: 122, grad_norm: 0.09094475655864465, cross_entropy: 158.19167603548513
it: 123, grad_norm: 0.0909447490916325, cross_entropy: 158.19166787255799
it: 124, grad_norm: 0.09094474086903159, cross_entropy: 158.1916588836204
it: 125, grad_norm: 0.09094473093555212, cross_entropy: 158.19164802434892
it: 126, grad_norm: 0.09094472189160199, cross_entropy: 158.1916381375071
it: 127, grad_norm: 0.09094471234096055, cross_entropy: 158.19162769674733
it: 128, grad_norm: 0.09094470507419361, cross_entropy: 158.19161975271646
it: 129, grad_norm: 0.09094469528188688, cross_entropy: 158.1916090477622
it: 130, grad_norm: 0.09094466951646753, cross_entropy: 158.19158088098442
it: 131, grad_norm: 0.09094465382351617, cross_entropy: 158.19156372542216
it: 132, grad_norm: 0.09094463237911297, cross_entropy: 158.1915402823504
it: 133, grad_norm: 0.09094462461759105, cross_entropy: 158.1915317974303
it: 134, grad_norm: 0.09094461050790563, cross_entropy: 158.19151637267407
it: 135, grad_norm: 0.09094459140542513, cross_entropy: 158.1914954897673
it: 136, grad_norm: 0.09094458209777552, cross_entropy: 158.19148531460183
it: 137, grad_norm: 0.09094457220472155, cross_entropy: 158.191474499466
it: 138, grad_norm: 0.09094456352387031, cross_entropy: 158.19146500951308
it: 139, grad_norm: 0.09094455505827996, cross_entropy: 158.19145575488216
it: 140, grad_norm: 0.09094453608750674, cross_entropy: 158.1914350159196
it: 141, grad_norm: 0.09094452625747104, cross_entropy: 158.19142426965917
it: 142, grad_norm: 0.09094451417456446, cross_entropy: 158.19141106054101
it: 143, grad_norm: 0.09094450355590797, cross_entropy: 158.1913994521465
it: 144, grad_norm: 0.09094449052261536, cross_entropy: 158.19138520404874
it: 145, grad_norm: 0.0909444734756422, cross_entropy: 158.19136656815581
it: 146, grad_norm: 0.09094446541594724, cross_entropy: 158.19135775722532
it: 147, grad_norm: 0.09094445778106511, cross_entropy: 158.19134941070155
it: 148, grad_norm: 0.09094443803596315, cross_entropy: 158.191327825168
it: 149, grad_norm: 0.09094442964020932, cross_entropy: 158.19131864684385
it: 150, grad_norm: 0.09094440970420467, cross_entropy: 158.19129685259293
it: 151, grad_norm: 0.0909444003689961, cross_entropy: 158.1912866472378
it: 152, grad_norm: 0.09094438793037539, cross_entropy: 158.19127304919306
it: 153, grad_norm: 0.0909443789370319, cross_entropy: 158.1912632175612
it: 154, grad_norm: 0.09094437045433092, cross_entropy: 158.1912539441671
it: 155, grad_norm: 0.09094436156319136, cross_entropy: 158.19124422426034
it: 156, grad_norm: 0.09094435311278481, cross_entropy: 158.19123498616568
it: 157, grad_norm: 0.09094433750889369, cross_entropy: 158.1912179277836
it: 158, grad_norm: 0.09094431247217456, cross_entropy: 158.1911905572931
it: 159, grad_norm: 0.0909443056477709, cross_entropy: 158.1911830967538
it: 160, grad_norm: 0.09094429751106678, cross_entropy: 158.19117420158597
it: 161, grad_norm: 0.09094427236859792, cross_entropy: 158.19114671545157
it: 162, grad_norm: 0.09094426064565046, cross_entropy: 158.19113389973415
it: 163, grad_norm: 0.09094425400456442, cross_entropy: 158.19112663958774
it: 164, grad_norm: 0.0909442452686713, cross_entropy: 158.1911170893611
it: 165, grad_norm: 0.0909442329450391, cross_entropy: 158.191103616953
it: 166, grad_norm: 0.09094422025836564, cross_entropy: 158.19108974765626
it: 167, grad_norm: 0.09094420663038723, cross_entropy: 158.1910748493019
it: 168, grad_norm: 0.09094418609931147, cross_entropy: 158.1910524043453
it: 169, grad_norm: 0.09094417860639684, cross_entropy: 158.1910442129451
it: 170, grad_norm: 0.0909441707303218, cross_entropy: 158.19103560266427
it: 171, grad_norm: 0.09094415557070035, cross_entropy: 158.1910190298623
it: 172, grad_norm: 0.09094413987925504, cross_entropy: 158.191001875651
it: 173, grad_norm: 0.0909441189031258, cross_entropy: 158.1909789441023
it: 174, grad_norm: 0.09094411052264527, cross_entropy: 158.19096978237712
it: 175, grad_norm: 0.09094410111637015, cross_entropy: 158.190959499228
it: 176, grad_norm: 0.0909440855908447, cross_entropy: 158.1909425263727
it: 177, grad_norm: 0.09094407843257737, cross_entropy: 158.19093470078914
it: 178, grad_norm: 0.09094406102757766, cross_entropy: 158.19091567323585
it: 179, grad_norm: 0.0909440544583538, cross_entropy: 158.19090849160216
it: 180, grad_norm: 0.09094404527151381, cross_entropy: 158.19089844832553
it: 181, grad_norm: 0.09094401978380492, cross_entropy: 158.19087058453397
it: 182, grad_norm: 0.09094399773218972, cross_entropy: 158.19084647714405
it: 183, grad_norm: 0.09094397988557129, cross_entropy: 158.19082696674974
it: 184, grad_norm: 0.09094397031461225, cross_entropy: 158.19081650351887
it: 185, grad_norm: 0.09094395175591802, cross_entropy: 158.19079621464584
it: 186, grad_norm: 0.09094393215727815, cross_entropy: 158.19077478886265
it: 187, grad_norm: 0.09094391199624334, cross_entropy: 158.19075274823902
it: 188, grad_norm: 0.0909438933344552, cross_entropy: 158.19073234662108
it: 189, grad_norm: 0.09094387813376131, cross_entropy: 158.1907157287634
it: 190, grad_norm: 0.09094386977574997, cross_entropy: 158.19070659152828
it: 191, grad_norm: 0.09094385980373308, cross_entropy: 158.19069568980967
it: 192, grad_norm: 0.09094384054269816, cross_entropy: 158.1906746330406
it: 193, grad_norm: 0.09094383099856225, cross_entropy: 158.19066419908467
it: 194, grad_norm: 0.09094381414648535, cross_entropy: 158.19064577584658
it: 195, grad_norm: 0.09094380655425038, cross_entropy: 158.19063747576394
it: 196, grad_norm: 0.09094379916879118, cross_entropy: 158.19062940173342
it: 197, grad_norm: 0.09094378230407661, cross_entropy: 158.19061096465987
it: 198, grad_norm: 0.09094376918716829, cross_entropy: 158.19059662480615
it: 199, grad_norm: 0.09094375948918285, cross_entropy: 158.19058602263132
it: 200, grad_norm: 0.09094375105609992, cross_entropy: 158.19057680328905
it: 201, grad_norm: 0.09094374093746835, cross_entropy: 158.19056574124264
it: 202, grad_norm: 0.0909437309159475, cross_entropy: 158.19055478535762
